#Rotation(Hz)	Register
0.00	8960
0.00	8924
0.00	8888
0.00	8852
0.00	8816
0.00	8780
0.00	8744
0.00	8708
0.00	8672
0.00	8636
0.00	8600
0.00	8564
0.00	8528
0.00	8492
0.00	8456
0.00	8420
0.00	8384
0.00	8348
1.47	8312
1.70	8276
1.85	8240
1.99	8204
2.12	8168
2.25	8132
2.38	8096
2.50	8060
2.62	8024
2.73	7988
2.85	7952
2.97	7916
3.09	7880
3.22	7844
3.34	7808
3.47	7772
3.58	7736
3.70	7700
3.84	7664
3.95	7628
4.08	7592
4.21	7556
4.33	7520
4.46	7484
4.58	7448
4.73	7412
4.85	7376
4.98	7340
5.12	7304
5.23	7268
5.37	7232
5.49	7196
5.62	7160
5.76	7124
5.89	7088
6.04	7052
6.18	7016
6.31	6980
6.46	6944
6.61	6908
6.75	6872
6.90	6836
7.04	6800
7.18	6764
7.35	6728
7.47	6693
7.62	6657
7.75	6621
7.91	6585
8.06	6549
8.23	6513
8.38	6477
8.52	6441
8.69	6405
8.86	6369
9.03	6333
9.20	6297
9.36	6261
9.52	6225
9.69	6189
9.86	6153
10.04	6117
10.21	6081
10.37	6045
10.56	6009
10.73	5973
10.91	5937
11.09	5901
11.27	5865
11.45	5829
11.65	5793
11.83	5757
12.02	5721
12.21	5685
12.41	5649
12.60	5613
12.79	5577
12.98	5541
13.19	5505
13.38	5469
13.59	5433
13.80	5397
13.99	5361
14.22	5325
14.42	5289
14.65	5253
14.87	5217
15.10	5181
15.32	5145
15.54	5109
15.76	5073
16.00	5037
16.23	5001
16.48	4965
16.67	4929
16.92	4893
17.17	4857
17.41	4821
17.66	4785
17.87	4749
18.14	4713
18.40	4677
18.66	4641
18.90	4605
19.17	4569
19.44	4533
19.69	4497
19.93	4462
20.22	4426
20.49	4390
20.76	4354
21.04	4318
21.34	4282
21.61	4246
21.92	4210
22.20	4174
22.48	4138
22.79	4102
23.11	4066
23.41	4030
23.75	3994
24.05	3958
24.35	3922
24.70	3886
25.01	3850
25.35	3814
25.69	3778
26.03	3742
26.37	3706
26.72	3670
27.07	3634
27.44	3598
27.80	3562
28.18	3526
28.53	3490
28.93	3454
29.33	3418
29.75	3382
30.15	3346
30.56	3310
31.00	3274
31.41	3238
31.85	3202
32.32	3166
32.72	3130
33.16	3094
33.61	3058
34.09	3022
34.58	2986
35.09	2950
35.56	2914
36.10	2878
36.64	2842
37.17	2806
37.75	2770
38.33	2734
38.90	2698
39.48	2662
40.10	2626
40.72	2590
41.36	2554
42.03	2518
42.67	2482
43.37	2446
44.07	2410
44.77	2374
45.54	2338
46.31	2302
47.12	2266
47.90	2231
48.72	2195
49.63	2159
50.54	2123
51.52	2087
52.47	2051
53.52	2015
54.65	1979
55.77	1943
56.95	1907
58.22	1871
59.55	1835
60.89	1799
62.34	1763
63.88	1727
65.47	1691
67.11	1655
68.88	1619
70.69	1583
72.57	1547
74.54	1511
76.56	1475
78.68	1439
80.78	1403
82.96	1367
85.18	1331
87.43	1295
89.72	1259
92.05	1223
94.42	1187
96.74	1151
99.15	1115
101.53	1079
103.91	1043
106.30	1007
108.68	971
111.04	935
113.35	899
115.73	863
118.05	827
120.37	791
122.65	755
124.86	719
127.06	683
129.28	647
131.48	611
133.67	575
135.81	539
137.93	503
140.04	467
142.15	431
144.22	395
146.31	359
148.35	323
150.31	287
152.37	251
154.39	215
156.37	179
158.15	143
160.03	107
161.68	71
163.00	35
163.56	0
